Países,Fecha,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB
Noruega [+],2018,146.871,"39,97%",27.734€,2018,84,2018,"18,3",Agosto 2019,"3,7%",II Trim 2019,96 m.,,,2018,62.149€,2018,5.328.212,2017,798.944,2017,196.814,2016,27,2017,"82,70",2017,"8,85"
Nepal [+],2018,7.423,"30,20%",264€,2018,31,2018,"87,9",,,,,2013,"69,1 €",,,2018,28.087.871,2017,502.670,2017,1.738.442,2016,627,2017,"70,60",2017,"0,28"
Nauru [+],2017,58,"59,36%",4.487€,,,,,,,,,,,,,2018,12.704,2017,3.710,2017,2.380,2012,0,,,2014,"0,11"
Nueva Zelanda [+],2018,51.306,"29,84%",10.407€,2018,87,2018,"20,9",,,I Trim 2019,123 m.,2018,"1.665,2 €",2018,35.371€,2018,4.930.000,2017,1.067.423,2017,834.433,2014,45,2017,"81,66",2017,"7,82"
Omán [+],2018,35.808,"53,37%",8.569€,2018,52,2018,"52,6",,,,,2013,"641,2 €",,,2018,4.179.000,2017,2.073.292,2017,20.688,2014,26,2017,"77,26",2017,"16,91"
Panamá [+],2018,21.741,"39,49%",5.228€,2018,37,2018,"49,5",,,I Trim 2017,87 m.,2013,"277,4 €",,,2018,4.159.000,2017,190.728,2017,149.220,2016,390,2017,"78,20",2017,"2,99"
Perú [+],2018,49.880,"26,15%",1.559€,2018,35,2018,"70,1",,,IV Trim 2018,320 m.,2018,"239,5 €",,,2018,31.989.256,2017,93.780,2017,1.475.532,2016,2.435,2017,"75,22",2017,"1,74"
Papúa Nueva Guinea [+],2015,5.859,"29,93%",723€,2018,28,2018,"84,8",,,,,,,,,2018,8.606.316,2017,32.389,2017,4.400,2010,713,2017,"65,71",2017,"0,53"
Filipinas [+],2018,109.012,"38,92%",1.022€,2018,36,2018,"85,5",,,IV Trim 2018,950 m.,2013,"224,6 €",,,2018,106.651.922,2017,218.530,2017,5.680.682,2016,11.385,2017,"69,24",2017,"1,31"
Pakistán [+],2018,190.885,"71,69%",950€,2018,33,2018,"96,3",,,II Trim 2018,2.781 m.,2017,"144,8 €",,,2018,200.960.000,2017,3.398.154,2017,5.978.635,2016,8.516,2017,"66,63",2017,"1,00"
Polonia [+],2018,240.470,"48,90%",6.333€,2018,60,2018,"41,5",Septiembre 2019,"3,3%",II Trim 2019,548 m.,2019,"523,1 €",2018,12.716€,2018,37.972.812,2017,640.937,2017,4.701.465,2016,256,2017,"77,80",2017,"8,36"
Paraguay [+],2018,7.604,"21,47%",1.078€,2018,29,2018,"69,8",,,III Trim 2017,93 m.,2017,"325,6 €",,,2018,7.053.000,2017,160.519,2017,873.410,2015,617,2017,"73,21",2017,"0,96"
Catar [+],2018,78.756,"48,63%",28.312€,2018,62,2018,"48,1",,,I Trim 2015,3 m.,,,,,2018,2.781.677,2017,1.721.392,2017,24.025,2015,181,2017,"78,33",2017,"37,05"
Rumanía [+],2018,70.772,"35,00%",3.648€,2018,47,2018,"49,4",Septiembre 2019,"3,9%",II Trim 2019,345 m.,2019,"446,0 €",2018,9.312€,2018,19.401.658,2017,370.753,2017,3.578.504,2016,247,2017,"75,30",2017,"4,12"
Serbia [+],2018,23.319,"54,55%",3.349€,2018,39,2018,"68,1",,,II Trim 2019,334 m.,2019,"307,7 €",,,2018,6.963.764,2017,801.903,2017,956.455,2016,123,2017,"75,60",,
Rusia [+],2018,204.864,"14,61%",1.396€,2018,28,2018,"77,2",Septiembre 2019,"4,5%",IV Trim 2017,3.871 m.,2018,"152,8 €",,,2018,146.800.000,2017,11.651.509,2017,10.635.994,2016,15.561,2017,"72,12",2017,"12,26"
Ruanda [+],2018,3.273,"40,66%",266€,2018,56,2018,"89,3",,,III Trim 2017,654 m.,,,,,2018,12.301.939,2017,443.088,2017,568.848,2015,293,2017,"67,50",2017,"0,09"
Arabia Saudita [+],2018,126.348,"18,98%",3.749€,2018,49,2018,"70,2",,,II Trim 2016,699 m.,2013,"606,8 €",,,2018,33.699.947,2017,12.185.284,2017,278.912,2015,472,2017,"74,72",2017,"19,39"
Islas Salomón [+],2017,108,"9,51%",170€,2018,44,2018,"83,1",,,,,,,,,2018,652.858,2017,2.532,2017,3.913,2012,24,2017,"71,01",2017,"0,24"
Seychelles [+],2018,763,"56,92%",7.881€,2018,66,2018,"56,8",,,III Trim 2018,2 m.,,,,,2018,96.762,2017,12.926,2017,36.318,2016,12,2017,"74,30",2017,"10,22"
Sudán [+],2018,61.535,"212,08%",1.472€,2018,16,2018,"108,7",,,,,,,,,2018,41.801.533,2017,735.821,2017,1.951.705,2015,2.596,2017,"64,70",2017,"0,40"
Suecia [+],2018,181.290,"38,80%",17.721€,2018,85,2018,"20,8",Septiembre 2019,"7,4%",II Trim 2019,386 m.,,,2018,44.212€,2018,10.230.185,2017,1.747.710,2017,348.040,2016,106,2017,"82,50",2017,"5,13"
Singapur [+],2018,352.412,"113,63%",62.495€,2018,85,2018,"30,4",,,I Trim 2017,70 m.,,,,,2018,5.639.000,2017,2.623.404,2017,327.043,2016,18,2017,"82,90",2017,"9,64"
Eslovenia [+],2018,32.232,"70,10%",15.489€,2018,60,2018,"30,3",Septiembre 2019,"4,3%",II Trim 2019,44 m.,2019,"886,6 €",2018,19.671€,2018,2.080.908,2017,244.790,2017,143.500,2016,10,2017,"81,20",2017,"7,31"
Eslovaquia [+],2018,44.145,"48,90%",8.099€,2018,50,2018,"42,5",Septiembre 2019,"5,6%",II Trim 2019,155 m.,2019,"520,0 €",2018,12.131€,2018,5.450.421,2017,184.642,2017,356.310,2016,57,2017,"77,30",2017,"6,95"
Sierra Leona [+],2018,2.176,"62,99%",285€,2018,30,2018,"89,1",,,,,,,,,2018,7.650.154,2017,95.248,2017,159.017,2015,124,2017,"52,21",2017,"0,17"
San Marino [+],2017,1.037,"76,64%",31.134€,,,,,,,I Trim 2015,2 m.,,,,,2018,34.590,2017,5.243,2017,2.342,2011,0,2012,"85,60",,
Senegal [+],2018,12.242,"61,55%",772€,2018,45,2018,"79,6",,,IV Trim 2016,154 m.,,,,,2018,15.854.360,2017,265.601,2017,559.952,2015,1.105,2017,"67,48",2017,"0,61"
Surinam [+],2017,2.121,"78,05%",3.718€,2018,43,2018,"64,0",,,,,,,,,2018,575.991,2017,47.699,2017,275.716,2015,58,2017,"71,52",2017,"3,93"
Sudán del Sur [+],2018,1.638,"42,22%",149€,2018,13,2018,"113,4",,,,,,,,,2018,10.975.920,2017,845.239,2017,1.752.014,2012,1.504,2017,"57,29",,
Santo Tomé y Príncipe [+],2018,267,"74,52%",1.264€,2018,46,2018,"72,1",,,,,,,,,2018,211.028,2017,2.293,2017,82.358,2011,6,2017,"66,76",2017,"0,77"
El Salvador [+],2018,14.791,"67,07%",2.227€,2018,35,2018,"71,2",,,,,2018,"253,6 €",,,2018,6.643.000,2017,42.323,2017,1.559.924,2016,5.257,2017,"73,75",2017,"1,23"
Siria [+],2009,12.083,"31,21%",573€,2018,13,2018,"111,4",,,IV Trim 2010,485 m.,,,,,2018,16.906.283,2017,1.013.818,2017,6.864.445,2010,463,2017,"70,96",2017,"1,55"
Suazilandia [+],2018,1.428,"35,24%",1.257€,2018,38,2018,"87,5",,,,,,,,,2018,1.136.191,2017,33.263,2017,91.621,2013,102,2017,"58,27",2017,"0,91"
Chad [+],2017,4.441,"49,76%",296€,2018,19,2018,"108,3",,,,,,,,,2018,15.477.751,2017,489.690,2017,246.960,2015,1.266,2017,"53,21",2017,"0,06"
Togo [+],2018,3.453,"76,15%",438€,2018,30,2018,"85,2",,,,,,,,,2018,7.889.094,2017,283.966,2017,454.396,2015,668,2017,"60,48",2017,"0,36"
Tailandia [+],2018,177.592,"42,08%",2.620€,2018,36,2018,"75,0",,,II Trim 2017,331 m.,2013,"193,3 €",,,2018,67.793.000,2017,3.588.873,2017,902.928,2016,2.229,2017,"75,50",2017,"4,05"
Tayikistán [+],2017,3.188,"50,39%",359€,2018,25,2018,"79,5",,,III Trim 2014,57 m.,,,,,2018,9.100.837,2017,273.259,2017,578.529,2013,117,2017,"71,21",2017,"0,64"
Timor Oriental [+],2017,95,"4,28%",76€,2018,35,2018,"88,3",,,,,2013,"87,2 €",,,2018,1.267.972,2017,12.063,2017,38.951,2015,49,2017,"69,20",2017,"0,33"
Turkmenistán [+],2017,9.679,"28,82%",1.681€,2018,20,2018,"72,6",,,,,,,,,2018,5.850.908,2017,195.061,2017,243.202,2015,225,2017,"67,96",2017,"12,59"
Túnez [+],2016,23.526,"62,28%",2.063€,2018,43,2018,"72,1",,,I Trim 2017,626 m.,2012,"133,6 €",,,2018,11.565.204,2017,57.663,2017,767.155,2012,332,2017,"75,94",2017,"2,74"
Turquía [+],2018,196.944,"30,17%",2.402€,2018,41,2018,"82,2",Julio 2019,"14,3%",II Trim 2019,4.144 m.,2019,"422,3 €",2018,8.221€,2018,82.003.882,2017,4.881.966,2017,3.418.932,2012,3.216,2017,"78,50",2017,"5,32"
Trinidad y Tobago [+],2018,8.568,"45,07%",6.165€,2018,41,2018,"54,6",,,IV Trim 2016,18 m.,2013,"256,1 €",,,2018,1.389.858,2017,50.214,2017,373.527,2015,420,2017,"70,78",2017,"27,57"
Tuvalu [+],2018,10,"28,15%",883€,,,,,,,,,,,,,2018,11.508,2017,143,2017,3.546,2012,2,,,2014,"0,06"
Taiwan [+],2018,175.052,"35,06%",7.421€,2018,63,,,,,I Trim 2019,438 m.,2013,"497,0 €",,,2018,23.589.000,,,,,2015,192,,,2017,"11,84"
Tanzania [+],2018,17.945,"37,29%",319€,2018,36,2018,"79,4",,,,,,,,,2018,56.318.348,2017,492.574,2017,324.394,2015,3.746,2017,"66,31",2017,"0,26"
Ucrania [+],2018,66.685,"60,21%",1.582€,2018,32,2018,"72,6",,,I Trim 2017,1.787 m.,2015,"71,7 €",,,2018,42.153.201,2017,4.964.293,2017,5.941.653,2014,2.845,2017,"73,30",2017,"4,65"
Uganda [+],2018,9.844,"41,37%",230€,2018,26,2018,"95,1",,,,,2013,"1,7 €",,,2018,42.723.139,2017,1.692.120,2017,739.667,2014,4.473,2017,"60,18",2017,"0,12"
Uruguay [+],2018,32.081,"63,54%",9.301€,2018,70,2018,"35,4",Septiembre 2019,"9,5%",IV Trim 2018,147 m.,2018,"521,5 €",,,2018,3.449.299,2017,79.586,2017,358.723,2016,265,2017,"77,65",2017,"2,00"
Uzbekistán [+],2018,8.822,"20,65%",268€,2018,23,2018,"79,1",,,,,,,,,2018,32.955.400,2017,1.159.190,2017,1.991.941,2015,893,2017,"71,42",2017,"2,99"
San Vicente y las Granadinas [+],2018,511,"74,48%",4.639€,2018,58,,,,,,,,,,,2018,110.210,2017,4.595,2017,60.857,2016,40,2017,"73,29",2017,"1,63"
Venezuela [+],2017,29.418,"23,12%",1.001€,2018,18,2018,"86,2",Diciembre 2018,"6,4%",I Trim 2016,1.062 m.,2013,"525,8 €",,,2018,28.870.195,2017,1.426.336,2017,657.439,2016,17.778,2017,"74,73",2017,"4,56"
Vietnam [+],2017,113.620,"58,22%",1.201€,2018,33,2018,"68,4",,,IV Trim 2017,954 m.,,,,,2018,95.540.395,2017,76.104,2017,2.727.398,2012,3.037,2017,"76,45",2017,"2,29"
Vanuatu [+],2017,406,"52,09%",1.455€,2018,46,,,,,,,,,,,2018,292.680,2017,3.245,2017,8.785,2015,6,2017,"72,33",2017,"0,33"
Samoa [+],2018,367,"50,32%",1.873€,2014,52,2018,"65,5",,,,,,,,,2018,196.130,2017,4.879,2017,117.511,2013,6,2017,"75,24",2017,"0,75"
Yemen [+],2017,18.331,"84,28%",611€,2018,14,2018,"112,7",,,IV Trim 2014,604 m.,,,,,2018,28.498.687,2017,384.321,2017,1.190.005,2013,1.703,2017,"65,16",2017,"0,44"
Sudáfrica [+],2018,176.700,"56,71%",3.050€,2018,43,2018,"72,9",Septiembre 2019,"29,1%",IV Trim 2018,6.151 m.,2013,"221,4 €",,,2018,57.939.000,2017,4.036.696,2017,898.407,2016,19.016,2017,"63,40",2017,"8,25"
Zambia [+],2017,14.168,"61,85%",841€,2018,35,2018,"87,2",,,IV Trim 2017,448 m.,,,,,2018,17.351.822,2017,156.982,2017,275.089,2015,853,2017,"62,26",2017,"0,29"
Zimbabue [+],2017,10.247,"52,87%",720€,2018,22,2018,"102,3",,,,,,,,,2018,14.439.018,2017,403.866,2017,1.025.204,2012,981,2017,"61,71",2017,"0,73"
